newspaper,location_classification,region_name
Aachener Nachrichten,DE-NW,Nordrhein-Westfalen
Aachener Zeitung,DE-NW,Nordrhein-Westfalen
Aachener Zeitung AAZ,DE-NW,Nordrhein-Westfalen
Allgemeine Zeitung,DE-RP,Rheinland-Pfalz
Alsfelder Allgemeine,DE-HE,Hessen
Alt-Neuöttinger Anzeiger,DE-BY,Bayern
Appenzeller Zeitung,CH,Switzerland
B.Z.,DE-BE,Berlin
BILD Bund,DE,Germany
BILD Leipzig,DE-SN,Sachsen
BILD Stuttgart,DE-BW,Baden-Württemberg
Bad Vilbeler Neue Presse,DE-HE,Hessen
Bayerische Staatszeitung,DE-BY,Bayern
Bergische Morgenpost,DE-NW,Nordrhein-Westfalen
Berliner Zeitung,DE-BE,Berlin
Berner Oberländer,CH,Switzerland
Bote der Urschweiz,CH,Switzerland
Börsen-Kurier,AT,Austria
Börsen-Zeitung,DE,Germany
Bürstädter Zeitung,DE-HE,Hessen
Butzbacher Zeitung,DE-HE,Hessen
Cannstätter Zeitung / Untertürkheimer Zeitung,DE-BW,Baden-Württemberg
Darmstädter Echo,DE-HE,Hessen
Deggendorfer Zeitung,DE-BY,Bayern
Der Bayerwald-Bote,DE-BY,Bayern
Der Standard,AT,Austria
Der Tagesspiegel,DE-BE,Berlin
Die Furche,AT,Austria
Die Oberbadische mit den Ausgaben: Lörrach Stadt und Landkreis Lörrach,DE-BW,Baden-Württemberg
Die Presse,AT,Austria
Die Welt,DE,Germany
Die ZEIT (inklusive ZEIT Magazin),DE,Germany
Dolomiten,IT,Italy
Dresdner Morgenpost,DE-SN,Sachsen
Energie & Management,DE,Germany
Esslinger Zeitung,DE-BW,Baden-Württemberg
Frankenpost,DE-BY,Bayern
Frankfurter Neue Presse,DE-HE,Hessen
Frankfurter Neue Presse (Regionalausgaben),DE-HE,Hessen
Frankfurter Neue Presse (Stadtausgabe),DE-HE,Hessen
Frankfurter Rundschau,DE-HE,Hessen
General-Anzeiger (Bonn),DE-NW,Nordrhein-Westfalen
General-Anzeiger Bonn,DE-NW,Nordrhein-Westfalen
