newspaper,location_classification,region_name
NRC Handelsblad,NL,Nederland
NRC,NL,Nederland
NRC.NEXT,NL,Nederland
Trouw,NL,Nederland
De Telegraaf,NL,Nederland
AD/Algemeen Dagblad,NL,Nederland
Nederlands Dagblad,NL,Nederland
Cobouw,NL,Nederland
Nieuwe Oogst,NL,Nederland
Food & Agri business,NL,Nederland
Brabants Dagblad,NB,Noord-Brabant
Brabants Dagblad.nl,NB,Noord-Brabant
BN/DeStem,NB,Noord-Brabant
BN De Stem.nl,NB,Noord-Brabant
Provinciale Zeeuwse Courant,ZE,Zeeland
PZC.nl,ZE,Zeeland
Dagblad van het Noorden,GR+DR,Groningen en Drenthe
Friesch Dagblad,FR,Friesland
Limburgs Dagblad,LI,Limburg
De Limburger,LI,Limburg
De Gelderlander,GE,Gelderland
De Gelderlander.nl,GE,Gelderland
De Stentor,OV+GE,Overijssel en Gelderland
De Stentor.nl,OV+GE,Overijssel en Gelderland
De Twentsche Courant Tubantia,OV,Overijssel
Tubantia.nl,OV,Overijssel
Eindhovens Dagblad,NB,Noord-Brabant
Eindhovens Dagblad.nl,NB,Noord-Brabant
AD/Haagsche Courant,GM0518,Den Haag
AD/Utrechts Nieuwsblad,GM0344,Utrecht
AD/Rotterdams Dagblad,GM0599,Rotterdam
AD/Amersfoortse Courant,GM0307,Amersfoort
AD/Groene Hart,ZH,Zuid-Holland
AD/De Dordtenaar,GM0505,Dordrecht
AD/Rivierenland,GE,Rivierenland (Gelderland)
De Stentor / Apeldoornse Courant,GM0200,Apeldoorn
De Stentor / Zutphens Dagblad,GM0301,Zutphen
De Stentor / Veluws Dagblad,GE,Veluwe (Gelderland)
De Stentor / Sallands Dagblad,OV,Salland (Overijssel)
De Stentor / Gelders Dagblad,GE,Gelderland
De Stentor / Nieuw Kamper Dagblad,GM0166,Kampen
De Stentor / Zwolse Courant,GM0193,Zwolle
De Stentor/ Deventer Dagblad,GM0150,Deventer
Leidsch Dagblad,GM0546,Leiden
Haarlems Dagblad,GM0392,Haarlem
IJmuider Courant,GM0375,Velsen
De Gooi- en Eemlander,NH,Gooi en Eemland
Papendrechts Nieuwsblad,GM0590,Papendrecht
Woerdense Courant,GM0632,Woerden
Gouwe Koerier,GM0484,Gouda
Hengelo s Weekblad,GM0164,Hengelo
Zevenaar Post,GM0299,Zevenaar
De Brug Nijmegen,GM0268,Nijmegen
Almere Vandaag,GM0034,Almere
Alphen.cc,GM0484,Alphen aan den Rijn
De Bevelander,GM0654,Borsele
De Faam,ZE,Zeeland
Nieuwsblad,NL,Nederland
Huis aan Huis,NL,Nederland
De Krant,NL,Nederland
Stadsnieuws,NL,Nederland
Traverse,NL,Nederland
NDI,NL,Nederland
